"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 01 06:39:37 GMT 2022","Fri Jul 01 06:39:39 GMT 2022","1940","Suite","Test","Google_Test","Google_Test","checkGoogleLogoIsDisplayed","checkGoogleLogoIsDisplayed",""
"skipped","Fri Jul 01 06:42:49 GMT 2022","Fri Jul 01 06:42:49 GMT 2022","2","Suite","Test","Google_Test","Google_Test","searchForSecondResultAndOpen","searchForSecondResultAndOpen",""
"unknown","Fri Jul 01 06:39:29 GMT 2022","Fri Jul 01 06:39:29 GMT 2022","3","Suite","Test","Google_Test","Google_Test","searchBy_text_and_index_list","searchBy_text_and_index_list",""
"passed","Fri Jul 01 06:39:39 GMT 2022","Fri Jul 01 06:39:41 GMT 2022","1529","Suite","Test","Google_Test","Google_Test","checkPageTitle","checkPageTitle",""
"skipped","Fri Jul 01 06:42:49 GMT 2022","Fri Jul 01 06:42:49 GMT 2022","1","Suite","Test","Google_Test","Google_Test","verifyCountryIsEqual","verifyCountryIsEqual",""
"skipped","Fri Jul 01 06:42:49 GMT 2022","Fri Jul 01 06:42:49 GMT 2022","1","Suite","Test","Google_Test","Google_Test","verifySearchResults","verifySearchResults",""
"skipped","Fri Jul 01 06:42:49 GMT 2022","Fri Jul 01 06:42:49 GMT 2022","4","Suite","Test","Google_Test","Google_Test","searchForFourthResult","searchForFourthResult","Open Mozilla Firefox
Navigate to [https://www.google.com/]
Search for [TestNG]
Assert that the text of the fourth result is [TestNG Tutorial]
Close Mozilla Firefox
"
"passed","Fri Jul 01 06:39:42 GMT 2022","Fri Jul 01 06:39:49 GMT 2022","6743","Suite","Test","Google_Test","Google_Test","searchAndGetFirstResult","searchAndGetFirstResult","Open Google Chrome
Navigate to [https://www.google.com/ncr]
Search for [Selenium WebDriver]
Assert that the text of the first result is [Selenium - Web Browser Automation]
Close Google Chrome
"
"passed","Fri Jul 01 06:39:32 GMT 2022","Fri Jul 01 06:39:36 GMT 2022","3900","Suite","Test","Google_Test","Google_Test","SearchAndGetResultByText","SearchAndGetResultByText",""
"failed","Fri Jul 01 06:42:49 GMT 2022","Fri Jul 01 06:42:49 GMT 2022","1","Suite","Test","Google_Test","Google_Test","setUp_BeforeMethods","setUp_BeforeMethods",""
