"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Thu Jun 30 06:42:19 GMT 2022","Thu Jun 30 06:42:19 GMT 2022","2","Suite","Test","Google_Test","Google_Test","searchBy_text_and_index_list","searchBy_text_and_index_list",""
"passed","Thu Jun 30 06:42:23 GMT 2022","Thu Jun 30 06:42:27 GMT 2022","4208","Suite","Test","Google_Test","Google_Test","SearchAndGetResultByText","SearchAndGetResultByText",""
"skipped","Thu Jun 30 06:45:41 GMT 2022","Thu Jun 30 06:45:41 GMT 2022","1","Suite","Test","Google_Test","Google_Test","verifySearchResults","verifySearchResults",""
"passed","Thu Jun 30 06:42:34 GMT 2022","Thu Jun 30 06:42:41 GMT 2022","7470","Suite","Test","Google_Test","Google_Test","searchAndGetFirstResult","searchAndGetFirstResult","Open Google Chrome
Navigate to [https://www.google.com/ncr]
Search for [Selenium WebDriver]
Assert that the text of the first result is [Selenium - Web Browser Automation]
Close Google Chrome
"
"skipped","Thu Jun 30 06:45:41 GMT 2022","Thu Jun 30 06:45:41 GMT 2022","1","Suite","Test","Google_Test","Google_Test","verifyCountryIsEqual","verifyCountryIsEqual",""
"failed","Thu Jun 30 06:45:41 GMT 2022","Thu Jun 30 06:45:41 GMT 2022","0","Suite","Test","Google_Test","Google_Test","setUp_BeforeMethods","setUp_BeforeMethods",""
"skipped","Thu Jun 30 06:45:41 GMT 2022","Thu Jun 30 06:45:41 GMT 2022","5","Suite","Test","Google_Test","Google_Test","searchForFourthResult","searchForFourthResult","Open Mozilla Firefox
Navigate to [https://www.google.com/]
Search for [TestNG]
Assert that the text of the fourth result is [TestNG Tutorial]
Close Mozilla Firefox
"
"passed","Thu Jun 30 06:42:28 GMT 2022","Thu Jun 30 06:42:30 GMT 2022","2115","Suite","Test","Google_Test","Google_Test","checkGoogleLogoIsDisplayed","checkGoogleLogoIsDisplayed",""
"skipped","Thu Jun 30 06:45:41 GMT 2022","Thu Jun 30 06:45:41 GMT 2022","2","Suite","Test","Google_Test","Google_Test","searchForSecondResultAndOpen","searchForSecondResultAndOpen",""
"passed","Thu Jun 30 06:42:31 GMT 2022","Thu Jun 30 06:42:33 GMT 2022","1873","Suite","Test","Google_Test","Google_Test","checkPageTitle","checkPageTitle",""
