"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jul 01 02:53:11 GMT 2022","Fri Jul 01 02:53:11 GMT 2022","2","Suite","Test","Google_Test","Google_Test","verifySearchResults","verifySearchResults",""
"passed","Fri Jul 01 02:49:59 GMT 2022","Fri Jul 01 02:50:00 GMT 2022","1660","Suite","Test","Google_Test","Google_Test","checkGoogleLogoIsDisplayed","checkGoogleLogoIsDisplayed",""
"passed","Fri Jul 01 02:50:03 GMT 2022","Fri Jul 01 02:50:10 GMT 2022","6989","Suite","Test","Google_Test","Google_Test","searchAndGetFirstResult","searchAndGetFirstResult","Open Google Chrome
Navigate to [https://www.google.com/ncr]
Search for [Selenium WebDriver]
Assert that the text of the first result is [Selenium - Web Browser Automation]
Close Google Chrome
"
"passed","Fri Jul 01 02:49:54 GMT 2022","Fri Jul 01 02:49:57 GMT 2022","3119","Suite","Test","Google_Test","Google_Test","SearchAndGetResultByText","SearchAndGetResultByText",""
"skipped","Fri Jul 01 02:53:11 GMT 2022","Fri Jul 01 02:53:11 GMT 2022","16","Suite","Test","Google_Test","Google_Test","searchForFourthResult","searchForFourthResult","Open Mozilla Firefox
Navigate to [https://www.google.com/]
Search for [TestNG]
Assert that the text of the fourth result is [TestNG Tutorial]
Close Mozilla Firefox
"
"skipped","Fri Jul 01 02:53:11 GMT 2022","Fri Jul 01 02:53:11 GMT 2022","2","Suite","Test","Google_Test","Google_Test","verifyCountryIsEqual","verifyCountryIsEqual",""
"unknown","Fri Jul 01 02:49:51 GMT 2022","Fri Jul 01 02:49:51 GMT 2022","1","Suite","Test","Google_Test","Google_Test","searchBy_text_and_index_list","searchBy_text_and_index_list",""
"passed","Fri Jul 01 02:50:01 GMT 2022","Fri Jul 01 02:50:03 GMT 2022","1510","Suite","Test","Google_Test","Google_Test","checkPageTitle","checkPageTitle",""
"skipped","Fri Jul 01 02:53:11 GMT 2022","Fri Jul 01 02:53:11 GMT 2022","2","Suite","Test","Google_Test","Google_Test","searchForSecondResultAndOpen","searchForSecondResultAndOpen",""
"failed","Fri Jul 01 02:53:11 GMT 2022","Fri Jul 01 02:53:11 GMT 2022","0","Suite","Test","Google_Test","Google_Test","setUp_BeforeMethods","setUp_BeforeMethods",""
