"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 01 18:38:49 GMT 2022","Fri Jul 01 18:38:56 GMT 2022","7246","Suite","Test","Google_Test","Google_Test","searchAndGetFirstResult","searchAndGetFirstResult","Open Google Chrome
Navigate to [https://www.google.com/ncr]
Search for [Selenium WebDriver]
Assert that the text of the first result is [Selenium - Web Browser Automation]
Close Google Chrome
"
"failed","Fri Jul 01 18:41:56 GMT 2022","Fri Jul 01 18:41:56 GMT 2022","2","Suite","Test","Google_Test","Google_Test","setUp_BeforeMethods","setUp_BeforeMethods",""
"skipped","Fri Jul 01 18:41:56 GMT 2022","Fri Jul 01 18:41:56 GMT 2022","5","Suite","Test","Google_Test","Google_Test","searchForFourthResult","searchForFourthResult","Open Mozilla Firefox
Navigate to [https://www.google.com/]
Search for [TestNG]
Assert that the text of the fourth result is [TestNG Tutorial]
Close Mozilla Firefox
"
"skipped","Fri Jul 01 18:41:56 GMT 2022","Fri Jul 01 18:41:56 GMT 2022","1","Suite","Test","Google_Test","Google_Test","verifySearchResults","verifySearchResults",""
"unknown","Fri Jul 01 18:38:36 GMT 2022","Fri Jul 01 18:38:36 GMT 2022","3","Suite","Test","Google_Test","Google_Test","searchBy_text_and_index_list","searchBy_text_and_index_list",""
"passed","Fri Jul 01 18:38:44 GMT 2022","Fri Jul 01 18:38:45 GMT 2022","1677","Suite","Test","Google_Test","Google_Test","checkGoogleLogoIsDisplayed","checkGoogleLogoIsDisplayed",""
"passed","Fri Jul 01 18:38:39 GMT 2022","Fri Jul 01 18:38:43 GMT 2022","3864","Suite","Test","Google_Test","Google_Test","SearchAndGetResultByText","SearchAndGetResultByText",""
"skipped","Fri Jul 01 18:41:56 GMT 2022","Fri Jul 01 18:41:56 GMT 2022","1","Suite","Test","Google_Test","Google_Test","verifyCountryIsEqual","verifyCountryIsEqual",""
"skipped","Fri Jul 01 18:41:56 GMT 2022","Fri Jul 01 18:41:56 GMT 2022","2","Suite","Test","Google_Test","Google_Test","searchForSecondResultAndOpen","searchForSecondResultAndOpen",""
"passed","Fri Jul 01 18:38:46 GMT 2022","Fri Jul 01 18:38:48 GMT 2022","1504","Suite","Test","Google_Test","Google_Test","checkPageTitle","checkPageTitle",""
