"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 02:40:11 GMT 2022","Wed Jun 29 02:40:13 GMT 2022","2181","Suite","Test","Google_Test","Google_Test","checkGoogleLogoIsDisplayed","checkGoogleLogoIsDisplayed",""
"skipped","Wed Jun 29 02:43:27 GMT 2022","Wed Jun 29 02:43:27 GMT 2022","12","Suite","Test","Google_Test","Google_Test","searchForFourthResult","searchForFourthResult","Open Mozilla Firefox
Navigate to [https://www.google.com/]
Search for [TestNG]
Assert that the text of the fourth result is [TestNG Tutorial]
Close Mozilla Firefox
"
"skipped","Wed Jun 29 02:43:27 GMT 2022","Wed Jun 29 02:43:27 GMT 2022","2","Suite","Test","Google_Test","Google_Test","verifySearchResults","verifySearchResults",""
"passed","Wed Jun 29 02:40:05 GMT 2022","Wed Jun 29 02:40:10 GMT 2022","5078","Suite","Test","Google_Test","Google_Test","SearchAndGetResultByText","SearchAndGetResultByText",""
"skipped","Wed Jun 29 02:43:27 GMT 2022","Wed Jun 29 02:43:27 GMT 2022","1","Suite","Test","Google_Test","Google_Test","verifyCountryIsEqual","verifyCountryIsEqual",""
"passed","Wed Jun 29 02:40:14 GMT 2022","Wed Jun 29 02:40:16 GMT 2022","1991","Suite","Test","Google_Test","Google_Test","checkPageTitle","checkPageTitle",""
"skipped","Wed Jun 29 02:43:27 GMT 2022","Wed Jun 29 02:43:27 GMT 2022","3","Suite","Test","Google_Test","Google_Test","searchForSecondResultAndOpen","searchForSecondResultAndOpen",""
"passed","Wed Jun 29 02:40:18 GMT 2022","Wed Jun 29 02:40:26 GMT 2022","8924","Suite","Test","Google_Test","Google_Test","searchAndGetFirstResult","searchAndGetFirstResult","Open Google Chrome
Navigate to [https://www.google.com/ncr]
Search for [Selenium WebDriver]
Assert that the text of the first result is [Selenium - Web Browser Automation]
Close Google Chrome
"
"unknown","Wed Jun 29 02:40:01 GMT 2022","Wed Jun 29 02:40:01 GMT 2022","2","Suite","Test","Google_Test","Google_Test","searchBy_text_and_index_list","searchBy_text_and_index_list",""
"failed","Wed Jun 29 02:43:27 GMT 2022","Wed Jun 29 02:43:27 GMT 2022","1","Suite","Test","Google_Test","Google_Test","setUp_BeforeMethods","setUp_BeforeMethods",""
