"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jun 27 13:07:54 GMT 2022","Mon Jun 27 13:07:54 GMT 2022","5","Suite","Test","Google_Test","Google_Test","searchForFourthResult","searchForFourthResult","Open Mozilla Firefox
Navigate to [https://www.google.com/]
Search for [TestNG]
Assert that the text of the fourth result is [TestNG Tutorial]
Close Mozilla Firefox
"
"unknown","Mon Jun 27 13:04:35 GMT 2022","Mon Jun 27 13:04:35 GMT 2022","3","Suite","Test","Google_Test","Google_Test","searchBy_text_and_index_list","searchBy_text_and_index_list",""
"skipped","Mon Jun 27 13:07:54 GMT 2022","Mon Jun 27 13:07:54 GMT 2022","1","Suite","Test","Google_Test","Google_Test","verifyCountryIsEqual","verifyCountryIsEqual",""
"passed","Mon Jun 27 13:04:45 GMT 2022","Mon Jun 27 13:04:47 GMT 2022","1501","Suite","Test","Google_Test","Google_Test","checkPageTitle","checkPageTitle",""
"passed","Mon Jun 27 13:04:43 GMT 2022","Mon Jun 27 13:04:45 GMT 2022","1733","Suite","Test","Google_Test","Google_Test","checkGoogleLogoIsDisplayed","checkGoogleLogoIsDisplayed",""
"passed","Mon Jun 27 13:04:38 GMT 2022","Mon Jun 27 13:04:42 GMT 2022","3672","Suite","Test","Google_Test","Google_Test","SearchAndGetResultByText","SearchAndGetResultByText",""
"failed","Mon Jun 27 13:07:54 GMT 2022","Mon Jun 27 13:07:54 GMT 2022","1","Suite","Test","Google_Test","Google_Test","setUp_BeforeMethods","setUp_BeforeMethods",""
"skipped","Mon Jun 27 13:07:54 GMT 2022","Mon Jun 27 13:07:54 GMT 2022","11","Suite","Test","Google_Test","Google_Test","searchForSecondResultAndOpen","searchForSecondResultAndOpen",""
"passed","Mon Jun 27 13:04:48 GMT 2022","Mon Jun 27 13:04:54 GMT 2022","6666","Suite","Test","Google_Test","Google_Test","searchAndGetFirstResult","searchAndGetFirstResult","Open Google Chrome
Navigate to [https://www.google.com/ncr]
Search for [Selenium WebDriver]
Assert that the text of the first result is [Selenium - Web Browser Automation]
Close Google Chrome
"
"skipped","Mon Jun 27 13:07:54 GMT 2022","Mon Jun 27 13:07:54 GMT 2022","1","Suite","Test","Google_Test","Google_Test","verifySearchResults","verifySearchResults",""
