"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 13:02:03 GMT 2022","Tue Jun 28 13:02:04 GMT 2022","1797","Suite","Test","Google_Test","Google_Test","checkGoogleLogoIsDisplayed","checkGoogleLogoIsDisplayed",""
"passed","Tue Jun 28 13:02:08 GMT 2022","Tue Jun 28 13:02:15 GMT 2022","7251","Suite","Test","Google_Test","Google_Test","searchAndGetFirstResult","searchAndGetFirstResult","Open Google Chrome
Navigate to [https://www.google.com/ncr]
Search for [Selenium WebDriver]
Assert that the text of the first result is [Selenium - Web Browser Automation]
Close Google Chrome
"
"passed","Tue Jun 28 13:01:57 GMT 2022","Tue Jun 28 13:02:02 GMT 2022","4415","Suite","Test","Google_Test","Google_Test","SearchAndGetResultByText","SearchAndGetResultByText",""
"unknown","Tue Jun 28 13:01:54 GMT 2022","Tue Jun 28 13:01:54 GMT 2022","1","Suite","Test","Google_Test","Google_Test","searchBy_text_and_index_list","searchBy_text_and_index_list",""
"skipped","Tue Jun 28 13:05:15 GMT 2022","Tue Jun 28 13:05:15 GMT 2022","1","Suite","Test","Google_Test","Google_Test","verifySearchResults","verifySearchResults",""
"passed","Tue Jun 28 13:02:05 GMT 2022","Tue Jun 28 13:02:07 GMT 2022","1670","Suite","Test","Google_Test","Google_Test","checkPageTitle","checkPageTitle",""
"skipped","Tue Jun 28 13:05:15 GMT 2022","Tue Jun 28 13:05:15 GMT 2022","8","Suite","Test","Google_Test","Google_Test","searchForFourthResult","searchForFourthResult","Open Mozilla Firefox
Navigate to [https://www.google.com/]
Search for [TestNG]
Assert that the text of the fourth result is [TestNG Tutorial]
Close Mozilla Firefox
"
"skipped","Tue Jun 28 13:05:15 GMT 2022","Tue Jun 28 13:05:15 GMT 2022","2","Suite","Test","Google_Test","Google_Test","verifyCountryIsEqual","verifyCountryIsEqual",""
"skipped","Tue Jun 28 13:05:15 GMT 2022","Tue Jun 28 13:05:15 GMT 2022","3","Suite","Test","Google_Test","Google_Test","searchForSecondResultAndOpen","searchForSecondResultAndOpen",""
"failed","Tue Jun 28 13:05:15 GMT 2022","Tue Jun 28 13:05:15 GMT 2022","1","Suite","Test","Google_Test","Google_Test","setUp_BeforeMethods","setUp_BeforeMethods",""
