"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 04 05:40:24 GMT 2022","Mon Jul 04 05:40:29 GMT 2022","5193","Suite","Test","Google_Test","Google_Test","searchForSecondResultAndOpen","searchForSecondResultAndOpen","- Open Google Chrome
- Navigate to [https://www.google.com/ncr]
- Search for [Cucumber IO]
- Navigate to the second results page
- Assert that the link of the second result contains [https://www.linkedin.com]
"
"broken","Mon Jul 04 05:40:14 GMT 2022","Mon Jul 04 05:40:24 GMT 2022","10062","Suite","Test","Google_Test","Google_Test","searchAndGetFirstResult","searchAndGetFirstResult","- Open Google Chrome
- Navigate to [https://www.google.com/ncr]
- Search for [Selenium WebDriver]
- Assert that the text of the first result is [Selenium - Web Browser Automation]
"
"broken","Mon Jul 04 05:40:17 GMT 2022","Mon Jul 04 05:40:49 GMT 2022","31978","Suite","Test","Google_Test","Google_Test","checkGoogleLogoIsDisplayed","checkGoogleLogoIsDisplayed","- Open Google Chrome
- Navigate to [https://www.google.com/ncr]
- Assert that the Google logo is displayed
"
"passed","Mon Jul 04 05:40:11 GMT 2022","Mon Jul 04 05:40:22 GMT 2022","11078","Suite","Test","Google_Test","Google_Test","checkPageTitle","checkPageTitle","- Open Google Chrome
- Navigate to [https://www.google.com/ncr]
- Assert that the page title is [Google]
"
"broken","Mon Jul 04 05:40:13 GMT 2022","Mon Jul 04 05:40:24 GMT 2022","11378","Suite","Test","Google_Test","Google_Test","searchForFourthResult","searchForFourthResult","- Open Mozilla Firefox
- Navigate to [https://www.google.com/]
- Search for [TestNG]
- Assert that the text of the fourth result is [TestNG Tutorial]
- Close Mozilla Firefox
"
