"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jun 29 06:42:24 GMT 2022","Wed Jun 29 06:42:24 GMT 2022","2","Suite","Test","Google_Test","Google_Test","searchForSecondResultAndOpen","searchForSecondResultAndOpen",""
"passed","Wed Jun 29 06:39:16 GMT 2022","Wed Jun 29 06:39:24 GMT 2022","7871","Suite","Test","Google_Test","Google_Test","searchAndGetFirstResult","searchAndGetFirstResult","Open Google Chrome
Navigate to [https://www.google.com/ncr]
Search for [Selenium WebDriver]
Assert that the text of the first result is [Selenium - Web Browser Automation]
Close Google Chrome
"
"failed","Wed Jun 29 06:42:24 GMT 2022","Wed Jun 29 06:42:24 GMT 2022","1","Suite","Test","Google_Test","Google_Test","setUp_BeforeMethods","setUp_BeforeMethods",""
"skipped","Wed Jun 29 06:42:24 GMT 2022","Wed Jun 29 06:42:24 GMT 2022","1","Suite","Test","Google_Test","Google_Test","verifyCountryIsEqual","verifyCountryIsEqual",""
"passed","Wed Jun 29 06:39:05 GMT 2022","Wed Jun 29 06:39:10 GMT 2022","4805","Suite","Test","Google_Test","Google_Test","SearchAndGetResultByText","SearchAndGetResultByText",""
"unknown","Wed Jun 29 06:39:02 GMT 2022","Wed Jun 29 06:39:02 GMT 2022","1","Suite","Test","Google_Test","Google_Test","searchBy_text_and_index_list","searchBy_text_and_index_list",""
"skipped","Wed Jun 29 06:42:24 GMT 2022","Wed Jun 29 06:42:24 GMT 2022","1","Suite","Test","Google_Test","Google_Test","verifySearchResults","verifySearchResults",""
"skipped","Wed Jun 29 06:42:24 GMT 2022","Wed Jun 29 06:42:24 GMT 2022","4","Suite","Test","Google_Test","Google_Test","searchForFourthResult","searchForFourthResult","Open Mozilla Firefox
Navigate to [https://www.google.com/]
Search for [TestNG]
Assert that the text of the fourth result is [TestNG Tutorial]
Close Mozilla Firefox
"
"passed","Wed Jun 29 06:39:13 GMT 2022","Wed Jun 29 06:39:15 GMT 2022","1679","Suite","Test","Google_Test","Google_Test","checkPageTitle","checkPageTitle",""
"passed","Wed Jun 29 06:39:11 GMT 2022","Wed Jun 29 06:39:13 GMT 2022","1919","Suite","Test","Google_Test","Google_Test","checkGoogleLogoIsDisplayed","checkGoogleLogoIsDisplayed",""
