"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 18:44:50 GMT 2022","Tue Jun 28 18:44:51 GMT 2022","1726","Suite","Test","Google_Test","Google_Test","checkPageTitle","checkPageTitle",""
"unknown","Tue Jun 28 18:44:39 GMT 2022","Tue Jun 28 18:44:39 GMT 2022","1","Suite","Test","Google_Test","Google_Test","searchBy_text_and_index_list","searchBy_text_and_index_list",""
"passed","Tue Jun 28 18:44:47 GMT 2022","Tue Jun 28 18:44:49 GMT 2022","1911","Suite","Test","Google_Test","Google_Test","checkGoogleLogoIsDisplayed","checkGoogleLogoIsDisplayed",""
"passed","Tue Jun 28 18:44:42 GMT 2022","Tue Jun 28 18:44:46 GMT 2022","4010","Suite","Test","Google_Test","Google_Test","SearchAndGetResultByText","SearchAndGetResultByText",""
"skipped","Tue Jun 28 18:48:00 GMT 2022","Tue Jun 28 18:48:00 GMT 2022","2","Suite","Test","Google_Test","Google_Test","verifySearchResults","verifySearchResults",""
"skipped","Tue Jun 28 18:48:00 GMT 2022","Tue Jun 28 18:48:00 GMT 2022","3","Suite","Test","Google_Test","Google_Test","searchForSecondResultAndOpen","searchForSecondResultAndOpen",""
"skipped","Tue Jun 28 18:48:00 GMT 2022","Tue Jun 28 18:48:00 GMT 2022","8","Suite","Test","Google_Test","Google_Test","searchForFourthResult","searchForFourthResult","Open Mozilla Firefox
Navigate to [https://www.google.com/]
Search for [TestNG]
Assert that the text of the fourth result is [TestNG Tutorial]
Close Mozilla Firefox
"
"failed","Tue Jun 28 18:48:00 GMT 2022","Tue Jun 28 18:48:00 GMT 2022","1","Suite","Test","Google_Test","Google_Test","setUp_BeforeMethods","setUp_BeforeMethods",""
"passed","Tue Jun 28 18:44:52 GMT 2022","Tue Jun 28 18:45:00 GMT 2022","7513","Suite","Test","Google_Test","Google_Test","searchAndGetFirstResult","searchAndGetFirstResult","Open Google Chrome
Navigate to [https://www.google.com/ncr]
Search for [Selenium WebDriver]
Assert that the text of the first result is [Selenium - Web Browser Automation]
Close Google Chrome
"
"skipped","Tue Jun 28 18:48:00 GMT 2022","Tue Jun 28 18:48:00 GMT 2022","5","Suite","Test","Google_Test","Google_Test","verifyCountryIsEqual","verifyCountryIsEqual",""
