"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 02:41:44 GMT 2022","Sun Jun 26 02:41:46 GMT 2022","1480","Suite","Test","Google_Test","Google_Test","checkPageTitle","checkPageTitle",""
"passed","Sun Jun 26 02:41:46 GMT 2022","Sun Jun 26 02:41:53 GMT 2022","6545","Suite","Test","Google_Test","Google_Test","searchAndGetFirstResult","searchAndGetFirstResult","Open Google Chrome
Navigate to [https://www.google.com/ncr]
Search for [Selenium WebDriver]
Assert that the text of the first result is [Selenium - Web Browser Automation]
Close Google Chrome
"
"failed","Sun Jun 26 02:44:53 GMT 2022","Sun Jun 26 02:44:53 GMT 2022","0","Suite","Test","Google_Test","Google_Test","setUp_BeforeMethods","setUp_BeforeMethods",""
"skipped","Sun Jun 26 02:44:53 GMT 2022","Sun Jun 26 02:44:53 GMT 2022","1","Suite","Test","Google_Test","Google_Test","searchForFourthResult","searchForFourthResult","Open Mozilla Firefox
Navigate to [https://www.google.com/]
Search for [TestNG]
Assert that the text of the fourth result is [TestNG Tutorial]
Close Mozilla Firefox
"
"skipped","Sun Jun 26 02:44:53 GMT 2022","Sun Jun 26 02:44:53 GMT 2022","1","Suite","Test","Google_Test","Google_Test","verifyCountryIsEqual","verifyCountryIsEqual",""
"passed","Sun Jun 26 02:41:11 GMT 2022","Sun Jun 26 02:41:14 GMT 2022","3534","Suite","Test","Google_Test","Google_Test","SearchAndGetResultByText","SearchAndGetResultByText",""
"unknown","Sun Jun 26 02:41:08 GMT 2022","Sun Jun 26 02:41:08 GMT 2022","1","Suite","Test","Google_Test","Google_Test","searchBy_text_and_index_list","searchBy_text_and_index_list",""
"failed","Sun Jun 26 02:41:15 GMT 2022","Sun Jun 26 02:41:43 GMT 2022","28285","Suite","Test","Google_Test","Google_Test","checkGoogleLogoIsDisplayed","checkGoogleLogoIsDisplayed",""
"skipped","Sun Jun 26 02:44:53 GMT 2022","Sun Jun 26 02:44:53 GMT 2022","1","Suite","Test","Google_Test","Google_Test","searchForSecondResultAndOpen","searchForSecondResultAndOpen",""
"skipped","Sun Jun 26 02:44:53 GMT 2022","Sun Jun 26 02:44:53 GMT 2022","0","Suite","Test","Google_Test","Google_Test","verifySearchResults","verifySearchResults",""
