"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 02 19:36:12 GMT 2022","Sat Jul 02 19:36:14 GMT 2022","2253","Suite","Test","Google_Test","Google_Test","checkGoogleLogoIsDisplayed","checkGoogleLogoIsDisplayed","- Open Google Chrome
- Navigate to [https://www.google.com/ncr]
- Assert that the Google logo is displayed
"
"skipped","Sat Jul 02 19:39:27 GMT 2022","Sat Jul 02 19:39:27 GMT 2022","2","Suite","Test","Google_Test","Google_Test","searchForFourthResult","searchForFourthResult","- Open Mozilla Firefox
- Navigate to [https://www.google.com/]
- Search for [TestNG]
- Assert that the text of the fourth result is [TestNG Tutorial]
- Close Mozilla Firefox
"
"skipped","Sat Jul 02 19:39:27 GMT 2022","Sat Jul 02 19:39:27 GMT 2022","2","Suite","Test","Google_Test","Google_Test","searchForSecondResultAndOpen","searchForSecondResultAndOpen","- Open Google Chrome
- Navigate to [https://www.google.com/ncr]
- Search for [Cucumber IO]
- Navigate to the second results page
- Assert that the link of the second result contains [https://www.linkedin.com]
"
"failed","Sat Jul 02 19:36:22 GMT 2022","Sat Jul 02 19:36:27 GMT 2022","4908","Suite","Test","Google_Test","Google_Test","searchAndGetFirstResult","searchAndGetFirstResult","- Open Google Chrome
- Navigate to [https://www.google.com/ncr]
- Search for [Selenium WebDriver]
- Assert that the text of the first result is [Selenium - Web Browser Automation]
"
"failed","Sat Jul 02 19:39:27 GMT 2022","Sat Jul 02 19:39:27 GMT 2022","1","Suite","Test","Google_Test","Google_Test","setUp_FireFox","setUp_FireFox",""
"passed","Sat Jul 02 19:36:16 GMT 2022","Sat Jul 02 19:36:21 GMT 2022","4920","Suite","Test","Google_Test","Google_Test","checkPageTitle","checkPageTitle","- Open Google Chrome
- Navigate to [https://www.google.com/ncr]
- Assert that the page title is [Google]
"
