"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jul 01 13:04:51 GMT 2022","Fri Jul 01 13:04:51 GMT 2022","1","Suite","Test","Google_Test","Google_Test","verifySearchResults","verifySearchResults",""
"passed","Fri Jul 01 13:01:35 GMT 2022","Fri Jul 01 13:01:37 GMT 2022","2228","Suite","Test","Google_Test","Google_Test","checkGoogleLogoIsDisplayed","checkGoogleLogoIsDisplayed",""
"skipped","Fri Jul 01 13:04:51 GMT 2022","Fri Jul 01 13:04:51 GMT 2022","2","Suite","Test","Google_Test","Google_Test","verifyCountryIsEqual","verifyCountryIsEqual",""
"skipped","Fri Jul 01 13:04:51 GMT 2022","Fri Jul 01 13:04:51 GMT 2022","3","Suite","Test","Google_Test","Google_Test","searchForSecondResultAndOpen","searchForSecondResultAndOpen",""
"passed","Fri Jul 01 13:01:29 GMT 2022","Fri Jul 01 13:01:34 GMT 2022","5151","Suite","Test","Google_Test","Google_Test","SearchAndGetResultByText","SearchAndGetResultByText",""
"unknown","Fri Jul 01 13:01:25 GMT 2022","Fri Jul 01 13:01:25 GMT 2022","2","Suite","Test","Google_Test","Google_Test","searchBy_text_and_index_list","searchBy_text_and_index_list",""
"failed","Fri Jul 01 13:04:51 GMT 2022","Fri Jul 01 13:04:51 GMT 2022","1","Suite","Test","Google_Test","Google_Test","setUp_BeforeMethods","setUp_BeforeMethods",""
"passed","Fri Jul 01 13:01:42 GMT 2022","Fri Jul 01 13:01:51 GMT 2022","8914","Suite","Test","Google_Test","Google_Test","searchAndGetFirstResult","searchAndGetFirstResult","Open Google Chrome
Navigate to [https://www.google.com/ncr]
Search for [Selenium WebDriver]
Assert that the text of the first result is [Selenium - Web Browser Automation]
Close Google Chrome
"
"passed","Fri Jul 01 13:01:39 GMT 2022","Fri Jul 01 13:01:41 GMT 2022","2015","Suite","Test","Google_Test","Google_Test","checkPageTitle","checkPageTitle",""
"skipped","Fri Jul 01 13:04:51 GMT 2022","Fri Jul 01 13:04:51 GMT 2022","7","Suite","Test","Google_Test","Google_Test","searchForFourthResult","searchForFourthResult","Open Mozilla Firefox
Navigate to [https://www.google.com/]
Search for [TestNG]
Assert that the text of the fourth result is [TestNG Tutorial]
Close Mozilla Firefox
"
