"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 03 02:38:30 GMT 2022","Sun Jul 03 02:38:35 GMT 2022","5181","Suite","Test","Google_Test","Google_Test","searchAndGetFirstResult","searchAndGetFirstResult","- Open Google Chrome
- Navigate to [https://www.google.com/ncr]
- Search for [Selenium WebDriver]
- Assert that the text of the first result is [Selenium - Web Browser Automation]
"
"passed","Sun Jul 03 02:38:25 GMT 2022","Sun Jul 03 02:38:29 GMT 2022","4147","Suite","Test","Google_Test","Google_Test","checkPageTitle","checkPageTitle","- Open Google Chrome
- Navigate to [https://www.google.com/ncr]
- Assert that the page title is [Google]
"
"failed","Sun Jul 03 02:41:36 GMT 2022","Sun Jul 03 02:41:36 GMT 2022","2","Suite","Test","Google_Test","Google_Test","setUp_FireFox","setUp_FireFox",""
"skipped","Sun Jul 03 02:41:36 GMT 2022","Sun Jul 03 02:41:36 GMT 2022","2","Suite","Test","Google_Test","Google_Test","searchForFourthResult","searchForFourthResult","- Open Mozilla Firefox
- Navigate to [https://www.google.com/]
- Search for [TestNG]
- Assert that the text of the fourth result is [TestNG Tutorial]
- Close Mozilla Firefox
"
"passed","Sun Jul 03 02:38:21 GMT 2022","Sun Jul 03 02:38:24 GMT 2022","2647","Suite","Test","Google_Test","Google_Test","checkGoogleLogoIsDisplayed","checkGoogleLogoIsDisplayed","- Open Google Chrome
- Navigate to [https://www.google.com/ncr]
- Assert that the Google logo is displayed
"
"skipped","Sun Jul 03 02:41:36 GMT 2022","Sun Jul 03 02:41:36 GMT 2022","3","Suite","Test","Google_Test","Google_Test","searchForSecondResultAndOpen","searchForSecondResultAndOpen","- Open Google Chrome
- Navigate to [https://www.google.com/ncr]
- Search for [Cucumber IO]
- Navigate to the second results page
- Assert that the link of the second result contains [https://www.linkedin.com]
"
