"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jun 26 06:39:38 GMT 2022","Sun Jun 26 06:39:38 GMT 2022","5","Suite","Test","Google_Test","Google_Test","verifySearchResults","verifySearchResults",""
"skipped","Sun Jun 26 06:39:38 GMT 2022","Sun Jun 26 06:39:38 GMT 2022","3","Suite","Test","Google_Test","Google_Test","searchForSecondResultAndOpen","searchForSecondResultAndOpen",""
"unknown","Sun Jun 26 06:36:12 GMT 2022","Sun Jun 26 06:36:13 GMT 2022","4","Suite","Test","Google_Test","Google_Test","searchBy_text_and_index_list","searchBy_text_and_index_list",""
"skipped","Sun Jun 26 06:39:38 GMT 2022","Sun Jun 26 06:39:38 GMT 2022","10","Suite","Test","Google_Test","Google_Test","searchForFourthResult","searchForFourthResult","Open Mozilla Firefox
Navigate to [https://www.google.com/]
Search for [TestNG]
Assert that the text of the fourth result is [TestNG Tutorial]
Close Mozilla Firefox
"
"passed","Sun Jun 26 06:36:23 GMT 2022","Sun Jun 26 06:36:25 GMT 2022","2090","Suite","Test","Google_Test","Google_Test","checkGoogleLogoIsDisplayed","checkGoogleLogoIsDisplayed",""
"skipped","Sun Jun 26 06:39:38 GMT 2022","Sun Jun 26 06:39:38 GMT 2022","1","Suite","Test","Google_Test","Google_Test","verifyCountryIsEqual","verifyCountryIsEqual",""
"failed","Sun Jun 26 06:39:38 GMT 2022","Sun Jun 26 06:39:38 GMT 2022","0","Suite","Test","Google_Test","Google_Test","setUp_BeforeMethods","setUp_BeforeMethods",""
"passed","Sun Jun 26 06:36:16 GMT 2022","Sun Jun 26 06:36:22 GMT 2022","5362","Suite","Test","Google_Test","Google_Test","SearchAndGetResultByText","SearchAndGetResultByText",""
"passed","Sun Jun 26 06:36:29 GMT 2022","Sun Jun 26 06:36:38 GMT 2022","8764","Suite","Test","Google_Test","Google_Test","searchAndGetFirstResult","searchAndGetFirstResult","Open Google Chrome
Navigate to [https://www.google.com/ncr]
Search for [Selenium WebDriver]
Assert that the text of the first result is [Selenium - Web Browser Automation]
Close Google Chrome
"
"passed","Sun Jun 26 06:36:26 GMT 2022","Sun Jun 26 06:36:28 GMT 2022","1925","Suite","Test","Google_Test","Google_Test","checkPageTitle","checkPageTitle",""
