"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 30 18:46:26 GMT 2022","Thu Jun 30 18:46:26 GMT 2022","5","Suite","Test","Google_Test","Google_Test","searchForSecondResultAndOpen","searchForSecondResultAndOpen",""
"unknown","Thu Jun 30 18:43:04 GMT 2022","Thu Jun 30 18:43:04 GMT 2022","5","Suite","Test","Google_Test","Google_Test","searchBy_text_and_index_list","searchBy_text_and_index_list",""
"skipped","Thu Jun 30 18:46:26 GMT 2022","Thu Jun 30 18:46:26 GMT 2022","3","Suite","Test","Google_Test","Google_Test","verifyCountryIsEqual","verifyCountryIsEqual",""
"passed","Thu Jun 30 18:43:18 GMT 2022","Thu Jun 30 18:43:26 GMT 2022","8046","Suite","Test","Google_Test","Google_Test","searchAndGetFirstResult","searchAndGetFirstResult","Open Google Chrome
Navigate to [https://www.google.com/ncr]
Search for [Selenium WebDriver]
Assert that the text of the first result is [Selenium - Web Browser Automation]
Close Google Chrome
"
"passed","Thu Jun 30 18:43:15 GMT 2022","Thu Jun 30 18:43:17 GMT 2022","1642","Suite","Test","Google_Test","Google_Test","checkPageTitle","checkPageTitle",""
"skipped","Thu Jun 30 18:46:26 GMT 2022","Thu Jun 30 18:46:26 GMT 2022","1","Suite","Test","Google_Test","Google_Test","verifySearchResults","verifySearchResults",""
"passed","Thu Jun 30 18:43:12 GMT 2022","Thu Jun 30 18:43:14 GMT 2022","2014","Suite","Test","Google_Test","Google_Test","checkGoogleLogoIsDisplayed","checkGoogleLogoIsDisplayed",""
"skipped","Thu Jun 30 18:46:26 GMT 2022","Thu Jun 30 18:46:26 GMT 2022","5","Suite","Test","Google_Test","Google_Test","searchForFourthResult","searchForFourthResult","Open Mozilla Firefox
Navigate to [https://www.google.com/]
Search for [TestNG]
Assert that the text of the fourth result is [TestNG Tutorial]
Close Mozilla Firefox
"
"passed","Thu Jun 30 18:43:07 GMT 2022","Thu Jun 30 18:43:11 GMT 2022","4316","Suite","Test","Google_Test","Google_Test","SearchAndGetResultByText","SearchAndGetResultByText",""
"failed","Thu Jun 30 18:46:26 GMT 2022","Thu Jun 30 18:46:26 GMT 2022","0","Suite","Test","Google_Test","Google_Test","setUp_BeforeMethods","setUp_BeforeMethods",""
