"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Sat Jun 25 17:51:46 GMT 2022","Sat Jun 25 17:51:46 GMT 2022","2","Suite","Test","Google_Test","Google_Test","searchBy_text_and_index_list","searchBy_text_and_index_list",""
"failed","Sat Jun 25 17:51:55 GMT 2022","Sat Jun 25 17:52:23 GMT 2022","28388","Suite","Test","Google_Test","Google_Test","checkGoogleLogoIsDisplayed","checkGoogleLogoIsDisplayed",""
"failed","Sat Jun 25 17:55:35 GMT 2022","Sat Jun 25 17:55:35 GMT 2022","1","Suite","Test","Google_Test","Google_Test","setUp_BeforeMethods","setUp_BeforeMethods",""
"skipped","Sat Jun 25 17:55:35 GMT 2022","Sat Jun 25 17:55:35 GMT 2022","1","Suite","Test","Google_Test","Google_Test","verifyCountryIsEqual","verifyCountryIsEqual",""
"skipped","Sat Jun 25 17:55:35 GMT 2022","Sat Jun 25 17:55:35 GMT 2022","2","Suite","Test","Google_Test","Google_Test","searchForFourthResult","searchForFourthResult","Open Mozilla Firefox
Navigate to [https://www.google.com/]
Search for [TestNG]
Assert that the text of the fourth result is [TestNG Tutorial]
Close Mozilla Firefox
"
"passed","Sat Jun 25 17:52:25 GMT 2022","Sat Jun 25 17:52:26 GMT 2022","1723","Suite","Test","Google_Test","Google_Test","checkPageTitle","checkPageTitle",""
"passed","Sat Jun 25 17:52:27 GMT 2022","Sat Jun 25 17:52:35 GMT 2022","7486","Suite","Test","Google_Test","Google_Test","searchAndGetFirstResult","searchAndGetFirstResult","Open Google Chrome
Navigate to [https://www.google.com/ncr]
Search for [Selenium WebDriver]
Assert that the text of the first result is [Selenium - Web Browser Automation]
Close Google Chrome
"
"skipped","Sat Jun 25 17:55:35 GMT 2022","Sat Jun 25 17:55:35 GMT 2022","1","Suite","Test","Google_Test","Google_Test","verifySearchResults","verifySearchResults",""
"passed","Sat Jun 25 17:51:49 GMT 2022","Sat Jun 25 17:51:54 GMT 2022","4805","Suite","Test","Google_Test","Google_Test","SearchAndGetResultByText","SearchAndGetResultByText",""
"skipped","Sat Jun 25 17:55:35 GMT 2022","Sat Jun 25 17:55:35 GMT 2022","1","Suite","Test","Google_Test","Google_Test","searchForSecondResultAndOpen","searchForSecondResultAndOpen",""
